,name,location,rating,num_rating,price
0,Essencia 2007,"Tokaj, Hungary",4.9,31 ratings,Available online from $799.29
1,Sauternes 1997,"Sauternes, France",4.8,1904 ratings,574.97
2,Sauternes 1990,"Sauternes, France",4.8,1776 ratings,Available online from $464
3,Sauternes 2001,"Sauternes, France",4.8,1305 ratings,Available online from $737
4,Sauternes 1989,"Sauternes, France",4.8,969 ratings,Available online from $490
5,Sauternes 2015,"Sauternes, France",4.8,624 ratings,Available online from $625
6,Sauternes 1976,"Sauternes, France",4.8,422 ratings,"Available online from $1,040.89"
7,Sauternes 1967,"Sauternes, France",4.8,310 ratings,"Available online from $1,800"
8,Sauternes 2017,"Sauternes, France",4.8,191 ratings,Available online from $600
9,Sauternes 2018,"Sauternes, France",4.8,133 ratings,Available online from $269.99
10,Essencia 2008,"Tokaj, Hungary",4.8,87 ratings,"Available online from $1,100"
11,Sauternes 1959,"Sauternes, France",4.8,79 ratings,"Available online from $5,275.89"
12,Crème de Tête Sauternes 1989,"Sauternes, France",4.8,36 ratings,Available online from $515
13,Sauternes 1996,"Sauternes, France",4.7,2856 ratings,Available online from $379.87
14,Sauternes 1998,"Sauternes, France",4.7,2749 ratings,Available online from $355.89
15,Sauternes 1999,"Sauternes, France",4.7,2305 ratings,Available online from $299.99
16,Sauternes 1995,"Sauternes, France",4.7,2074 ratings,Available online from $339
17,Sauternes 2005,"Sauternes, France",4.7,1496 ratings,Available online from $363.99
18,Sauternes 2003,"Sauternes, France",4.7,1363 ratings,Available online from $399.99
19,Vin de Constance (Natural Sweet) 2015,"Constantia, South Africa",4.7,1211 ratings,Available online from $134.99
20,Sauternes 2008,"Sauternes, France",4.7,1153 ratings,Available online from $340
21,Sauternes 2002,"Sauternes, France",4.7,1032 ratings,Available online from $500
22,Sauternes 1986,"Sauternes, France",4.7,921 ratings,Available online from $425
23,Sauternes 1988,"Sauternes, France",4.7,909 ratings,Available online from $475
24,Sauternes 2004,"Sauternes, France",4.7,906 ratings,Available online from $349.99
25,Sauternes 2007,"Sauternes, France",4.7,800 ratings,Available online from $396.99
26,Sauternes 2006,"Sauternes, France",4.7,768 ratings,Available online from $465
27,Sauternes 2011,"Sauternes, France",4.7,741 ratings,Available online from $500.89
28,Sauternes 1983,"Sauternes, France",4.7,690 ratings,Available online from $799.99
29,Sauternes 2013,"Sauternes, France",4.7,655 ratings,Available online from $275
30,Sauternes 2016,"Sauternes, France",4.7,608 ratings,Available online from $299.87
31,Sauternes 2009,"Sauternes, France",4.7,547 ratings,Available online from $560.90
32,Sauternes 2000,"Sauternes, France",4.7,486 ratings,Available online from $345
33,Sauternes 1975,"Sauternes, France",4.7,467 ratings,"Available online from $1,950"
34,Vin de Constance (Natural Sweet) 2017,"Constantia, South Africa",4.7,455 ratings,Available online from $89
35,Sauternes 1981,"Sauternes, France",4.7,410 ratings,"Available online from $1,080"
36,Sauternes 2010,"Sauternes, France",4.7,377 ratings,Available online from $395
