,name,location,rating,num_rating,price
0,Garrus Rosé 2019,"Côtes de Provence, France",4.6,201 ratings,99.99
1,Gran Reserva Rosado 2010,"Rioja Alta, Spain",4.5,529 ratings,Available online from $99
2,Garrus Rosé 2017,"Côtes de Provence, France",4.5,420 ratings,Available online from $99.99
3,281 Rosé 2020,"Provence, France",4.5,139 ratings,Available online from $71.92
4,Clos du Temple 2019,"Languedoc, France",4.5,126 ratings,Available online from $139.99
5,Rosé 2020,"Côtes de Provence, France",4.5,33 ratings,34.99
6,Côtes de Provence Rosé 2019,"Côtes de Provence, France",4.5,31 ratings,Available online from $25.99
7,Principal Rosé Téte de Cuvée 2016,"Bairrada, Portugal",4.5,25 ratings,Available online from $67.88
8,Rosé D'Anjou 2020,"Anjou, France",4.4,758 ratings,Available online from $14.99
9,Gran Reserva Rosado 2011,"Rioja Alta, Spain",4.4,199 ratings,Available online from $85
10,281 Rosé 2019,"Provence, France",4.4,188 ratings,Available online from $93
11,Pinot Noir of Vin Gris 2016,"Los Carneros, United States",4.4,165 ratings,Available online from $34.89
12,Les Clans Rosé 2018,"Côtes de Provence, France",4.4,159 ratings,Available online from $64.99
13,Garrus Rosé 2013,"Côtes de Provence, France",4.4,150 ratings,Available online from $99.99
14,Les Clans Rosé 2019,"Côtes de Provence, France",4.4,107 ratings,69.50
15,Rose-Marie 2019,"Blaye - Côtes de Bordeaux, France",4.4,85 ratings,Available online from $74.99
16,Clos Beylesse Côtes de Provence Rosé 2020,"Côtes de Provence, France",4.4,80 ratings,27.99
17,Clos du Temple 2018,"Languedoc, France",4.4,75 ratings,129.99
18,Terre De Maimbray Rose 2020,"Sancerre, France",4.4,53 ratings,Available online from $24.98
19,La Fe Rosé 2020,"St. Helena, United States",4.4,48 ratings,69.99
20,Ŕoxa 2020,"Navarra, Spain",4.4,44 ratings,19.99
21,Silphium Rose 2018,"Fthiotida, Greece",4.4,39 ratings,Available online from $67.54
22,And An Eight Track Rosé 2013,"California, United States",4.4,30 ratings,Available online from $295
23,Rosé et Or 2017,"Côtes de Provence, France",4.3,1028 ratings,Available online from $105.99
24,Rosé et Or 2019,"Côtes de Provence, France",4.3,1010 ratings,Available online from $49.50
25,Rosé D'Anjou 2019,"Anjou, France",4.3,832 ratings,Available online from $16.99
26,Rosé et Or 2020,"Côtes de Provence, France",4.3,761 ratings,Available online from $42.95
27,Bandol Rosé 2019,"Bandol, France",4.3,624 ratings,Available online from $41.99
28,Winifred Rosé 2018,"Weinland, Austria",4.3,596 ratings,Available online from $35
29,Bandol Rosé 2017,"Bandol, France",4.3,573 ratings,Available online from $47
30,Clos Mireille Rosé (Coeur de Grain) 2017,"Côtes de Provence, France",4.3,526 ratings,Available online from $41.99
31,Château de Selle Rosé (Coeur de Grain) 2019,"Côtes de Provence, France",4.3,510 ratings,Available online from $49.99
32,Winifred Rosé 2019,"Weinland, Austria",4.3,495 ratings,Available online from $35
33,Tibouren Tradition Rosé 2019,"Côtes de Provence, France",4.3,491 ratings,Available online from $29.99
34,Château de Selle Rosé (Coeur de Grain) 2020,"Côtes de Provence, France",4.3,465 ratings,44.99
35,Rubentis 2019,"Getariako Txakolina, Spain",4.3,426 ratings,Available online from $25
36,Gran Reserva Rosado 2009,"Rioja Alta, Spain",4.3,424 ratings,199.97
37,Single Vineyard Hedgehog Rosé 2020,"Florina, Greece",4.3,419 ratings,Available online from $19.38
38,Bandol Rosé 2020,"Bandol, France",4.3,297 ratings,69.97
39,Rosé d'Anjou 2020,"Rosé d'Anjou, France",4.3,257 ratings,Available online from $14.99
40,Clos Mireille Rosé (Coeur de Grain) 2020,"Côtes de Provence, France",4.3,229 ratings,49.99
41,Rosé (Family Reunion) 2016,"Weinland, Austria",4.3,188 ratings,Available online from $58
42,Maskerade Rosé 2018,"Weinland, Austria",4.3,171 ratings,Available online from $30
43,Maskerade Rosé 2020,"Weinland, Austria",4.3,166 ratings,Available online from $38
44,Rosé 2020,"Napa Valley, United States",4.3,158 ratings,Available online from $25.95
45,Rose-Marie 2018,"Blaye - Côtes de Bordeaux, France",4.3,155 ratings,Available online from $79.99
46,Les Clans Rosé 2017,"Côtes de Provence, France",4.3,153 ratings,79.99
47,Rosé 2019,"Clear Lake, United States",4.3,118 ratings,Available online from $32
48,Cassis Rosé 2019,"Cassis, France",4.3,106 ratings,Available online from $48
49,Coteaux d'Aix-en-Provence Rosé 2020,"Coteaux d'Aix-en-Provence, France",4.3,105 ratings,Available online from $14
50,Cerasuolo Montepulciano d'Abruzzo Rosé 2018,"Cerasuolo d'Abruzzo, Italy",4.3,105 ratings,Available online from $125
51,Fleur de Pinot Marsannay Rosé 2018,"Marsannay, France",4.3,97 ratings,Available online from $70
52,Rosé du Castel 2020,"Jerusalem, Israel",4.3,88 ratings,Available online from $39.99
53,Rosato 2019,"Lazio, Italy",4.3,84 ratings,50
54,Sancerre Rosé 2017,"Sancerre, France",4.3,77 ratings,Available online from $44
55,Le Clos Peyrassol Côtes de Provence Rosé 2019,"Côtes de Provence, France",4.3,66 ratings,Available online from $129
56,Rosé 2020,"Vaucluse, France",4.3,65 ratings,Available online from $17
57,Rosé 2020,"Württemberg, Germany",4.3,64 ratings,Available online from $24
58,Pinke Pinke 2020,"Rheinhessen, Germany",4.3,62 ratings,Available online from $18.99
59,Pinot Noir Rosé 2017,"California, United States",4.3,55 ratings,Available online from $32.99
60,Le Rosé de Pauline 2019,"Corsica, France",4.3,46 ratings,Available online from $27.95
61,Rosé of Pinot Noir 2020,"Sonoma Coast, United States",4.3,39 ratings,Available online from $33.99
62,Erratica Rosé 2011,"Willamette Valley, United States",4.3,38 ratings,109.99
63,Les 7 Hommes Sancerre Rosé 2019,"Sancerre, France",4.3,37 ratings,Available online from $27.99
64,Bandol Rosé 2020,"Bandol, France",4.3,36 ratings,Available online from $32.99
65,Pinot Noir Rosé 2017,"Santa Barbara County, United States",4.3,34 ratings,Available online from $28
66,Le Clos Rosé 2020,"Languedoc, France",4.3,34 ratings,19.99
67,En Valingrain Rosé des Riceys 2011,"Rosé des Riceys, France",4.3,31 ratings,Available online from $195
68,Palhete 2019,"Columbia Valley, United States",4.3,29 ratings,Available online from $24.99
69,Rosé vom Stein 2014,"Burgenland, Austria",4.3,28 ratings,Available online from $13
70,Extraordinaire Côtes de Provence Rosé 2015,"Côtes de Provence, France",4.3,26 ratings,Available online from $44.99
71,Whispering Angel Rosé 2020,"Côtes de Provence, France",4.2,6265 ratings,23.99
72,Grenache Rosé 2017,"Vin de France, France",4.2,2011 ratings,Available online from $16.99
73,11 Minutes Rosato 2020,"Veneto, Italy",4.2,1607 ratings,Available online from $14.99
74,Cherry Moscato N.V.,"Indiana, United States",4.2,1219 ratings,11.99
75,Grenache Rosé 2018,"Vin de France, France",4.2,1196 ratings,Available online from $23.75
76,Rock Angel Rosé 2018,"Côtes de Provence, France",4.2,1109 ratings,37.99
77,Blueberry Moscato N.V.,"Indiana, United States",4.2,777 ratings,11.99
78,Rock Angel Rosé 2019,"Côtes de Provence, France",4.2,710 ratings,44.99
79,Château Romassan Rosé (Coeur de Grain) 2016,"Bandol, France",4.2,705 ratings,Available online from $57.99
80,Château Romassan Rosé (Coeur de Grain) 2018,"Bandol, France",4.2,699 ratings,Available online from $63.99
81,La Jaglerie Rosé d'Anjou 2016,"Rosé d'Anjou, France",4.2,620 ratings,Available online from $13.99
82,UP Rosé 2020,"Côtes de Provence, France",4.2,578 ratings,21.99
83,Château Romassan Rosé (Coeur de Grain) 2019,"Bandol, France",4.2,561 ratings,Available online from $60.75
